frame_info.encap_type,frame_info.time,frame_info.time_epoch,frame_info.number,frame_info.len,frame_info.cap_len,eth.type,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
1,"Aug 11, 2024 01:53:42.228109000 EDT",1723355622.228109000,57,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,60150,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0xc5ca,0,
1,"Aug 11, 2024 01:53:42.238051000 EDT",1723355622.238051000,58,60,60,0x0800,4,20,,0xb3ea,0x00,0,0,0,0,254,6,0x8910,192.168.255.1,192.168.255.129,40,0x00,63019,60150,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0xc12a,0,
1,"Aug 11, 2024 01:53:42.248075000 EDT",1723355622.248075000,59,60,60,0x0800,4,20,,0xb4d4,0x00,0,0,0,0,254,6,0x8826,192.168.255.1,192.168.255.129,40,0x00,63019,4011,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xa86f,0,
1,"Aug 11, 2024 01:53:42.248091000 EDT",1723355622.248091000,60,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,4011,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0xac5c,0,
1,"Aug 11, 2024 01:53:42.258101000 EDT",1723355622.258101000,61,60,60,0x0800,4,20,,0xb4d5,0x00,0,0,0,0,254,6,0x8825,192.168.255.1,192.168.255.129,40,0x00,63019,4011,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0xa7bc,0,
1,"Aug 11, 2024 01:53:42.268086000 EDT",1723355622.268086000,62,60,60,0x0800,4,20,,0x147c,0x00,0,0,0,0,254,6,0x287f,192.168.255.1,192.168.255.129,40,0x00,63019,61388,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xf9c3,0,
1,"Aug 11, 2024 01:53:42.268100000 EDT",1723355622.268100000,63,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,61388,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0xfdb0,0,
1,"Aug 11, 2024 01:53:42.276689000 EDT",1723355622.276689000,64,60,60,0x0800,4,20,,0x147f,0x00,0,0,0,0,254,6,0x287c,192.168.255.1,192.168.255.129,40,0x00,63019,61388,1,0,0,20,0x0004,0,0,1,0,0,0,0,1200,0xf910,0,
1,"Aug 11, 2024 01:53:42.341122000 EDT",1723355622.341122000,65,60,60,0x0800,4,20,,0x096c,0x00,0,0,0,0,254,6,0x338f,192.168.255.1,192.168.255.129,40,0x00,63019,58900,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xbd7f,0,
1,"Aug 11, 2024 01:53:42.341122000 EDT",1723355622.341122000,66,60,60,0x0800,4,20,,0xeeb8,0x00,0,0,0,0,254,6,0x4e42,192.168.255.1,192.168.255.129,40,0x00,63019,29198,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x39df,0,
1,"Aug 11, 2024 01:53:42.341122000 EDT",1723355622.341122000,67,60,60,0x0800,4,20,,0x85bb,0x00,0,0,0,0,254,6,0xb73f,192.168.255.1,192.168.255.129,40,0x00,63019,62301,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xd577,0,
1,"Aug 11, 2024 01:53:42.341122000 EDT",1723355622.341122000,68,60,60,0x0800,4,20,,0xc338,0x00,0,0,0,0,254,6,0x79c2,192.168.255.1,192.168.255.129,40,0x00,63019,50201,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0xd8df,0,
1,"Aug 11, 2024 01:53:42.341122000 EDT",1723355622.341122000,69,60,60,0x0800,4,20,,0x1e54,0x00,0,0,0,0,254,6,0x1ea7,192.168.255.1,192.168.255.129,40,0x00,63019,6404,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x96ae,0,
1,"Aug 11, 2024 01:53:42.341123000 EDT",1723355622.341123000,70,60,60,0x0800,4,20,,0x6ed0,0x00,0,0,0,0,254,6,0xce2a,192.168.255.1,192.168.255.129,40,0x00,63019,39911,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x2b65,0,
1,"Aug 11, 2024 01:53:42.341123000 EDT",1723355622.341123000,71,60,60,0x0800,4,20,,0x2b86,0x00,0,0,0,0,254,6,0x1175,192.168.255.1,192.168.255.129,40,0x00,63019,12286,0,0,0,20,0x0002,0,1,0,0,0,0,0,1024,0x1b75,0,
1,"Aug 11, 2024 01:53:42.341144000 EDT",1723355622.341144000,72,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,58900,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0xc16c,0,
1,"Aug 11, 2024 01:53:42.341206000 EDT",1723355622.341206000,73,54,54,0x0800,4,20,,0x0000,0x02,0,1,0,0,64,6,0xbafb,192.168.255.129,192.168.255.1,40,0x00,29198,63019,1,1,0,20,0x0014,0,0,1,0,1,0,0,0,0x3dcc,0,
