,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
19,60,60,2.0,1,128,6,58288.0,40,0.0,63117,22,645,585,20,16.0,0,0,0,0,1,0,0,4105,52209.0
20,138,138,2.0,1,128,6,58203.0,124,0.0,63117,22,645,585,20,24.0,0,0,0,1,1,0,0,4105,29659.0
21,54,54,2.0,1,64,6,58309.0,40,8.0,22,63117,585,729,20,16.0,0,0,0,0,1,0,0,6265,32751.0
22,138,138,2.0,1,128,6,58202.0,124,0.0,63117,22,729,585,20,24.0,0,0,0,1,1,0,0,4105,64583.0
23,54,54,2.0,1,64,6,58308.0,40,8.0,22,63117,585,813,20,16.0,0,0,0,0,1,0,0,6265,32751.0
24,146,146,2.0,1,64,6,58215.0,132,8.0,22,63117,585,813,20,24.0,0,0,0,1,1,0,0,6265,32843.0
25,60,60,2.0,1,128,6,58285.0,40,0.0,63117,22,813,677,20,16.0,0,0,0,0,1,0,0,4105,51949.0
26,146,146,2.0,1,128,6,58192.0,132,0.0,63117,22,813,677,20,24.0,0,0,0,1,1,0,0,4105,455.0
27,54,54,2.0,1,64,6,58306.0,40,8.0,22,63117,677,905,20,16.0,0,0,0,0,1,0,0,6265,32751.0
28,146,146,2.0,1,64,6,58213.0,132,8.0,22,63117,677,905,20,24.0,0,0,0,1,1,0,0,6265,32843.0
29,146,146,2.0,1,128,6,58191.0,132,0.0,63117,22,905,769,20,24.0,0,0,0,1,1,0,0,4104,31559.0
30,54,54,2.0,1,64,6,58304.0,40,8.0,22,63117,769,997,20,16.0,0,0,0,0,1,0,0,6265,32751.0
31,154,154,2.0,1,128,6,58182.0,140,0.0,63117,22,997,769,20,24.0,0,0,0,1,1,0,0,4104,57420.0
,frame_info.len,frame_info.cap_len,ip.flags,ip.flags.df,ip.ttl,ip.proto,ip.checksum,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum
0,146,146,2.0,1,128,6,58179.0,132,0.0,63117,22,1,1,20,24.0,0,0,0,1,1,0,0,4101,24938.0
1,146,146,2.0,1,64,6,58197.0,132,8.0,22,63117,1,93,20,24.0,0,0,0,1,1,0,0,6265,32843.0
2,146,146,2.0,1,128,6,58178.0,132,0.0,63117,22,93,93,20,24.0,0,0,0,1,1,0,0,4101,53327.0
3,154,154,2.0,1,64,6,58188.0,140,8.0,22,63117,93,185,20,24.0,0,0,0,1,1,0,0,6265,32851.0
4,154,154,2.0,1,64,6,58187.0,140,8.0,22,63117,193,185,20,24.0,0,0,0,1,1,0,0,6265,32851.0
5,60,60,2.0,1,128,6,58269.0,40,0.0,63117,22,185,293,20,16.0,0,0,0,0,1,0,0,4100,49586.0
6,146,146,2.0,1,64,6,58194.0,132,8.0,22,63117,293,185,20,24.0,0,0,0,1,1,0,0,6265,32843.0
7,60,60,2.0,1,128,6,58268.0,40,0.0,63117,22,185,385,20,16.0,0,0,0,0,1,0,0,4106,49488.0
8,186,186,2.0,1,128,6,58135.0,172,0.0,63117,22,185,385,20,24.0,0,0,0,1,1,0,0,4106,56204.0
9,54,54,2.0,1,64,6,58285.0,40,8.0,22,63117,385,317,20,16.0,0,0,0,0,1,0,0,6265,32751.0
